time_key,open,high,low,close,volume,turnover,turnover_rate,change_rate
2023-11-01 00:00:00,4872.5145,4872.5984,4826.4821,4847.3808,949794960.0,12932611598.0,0.0,-0.8547339996468043
2023-11-02 00:00:00,4861.1987,4882.0351,4793.221,4794.5827,953887825.0,11976065626.4,0.0,-1.0892088362441008
2023-11-03 00:00:00,4804.6731,4829.153,4785.7216,4800.0798,1040865989.0,13053610546.45,0.0,0.11465231374568846
2023-11-06 00:00:00,4823.7626,4842.6734,4777.9821,4810.2662,1788933145.0,23568258411.94,0.0,0.2122131386232286
2023-11-07 00:00:00,4788.3149,4804.2189,4744.5477,4790.6109,1379295382.0,16913789655.71,0.0,-0.40861148183442225
2023-11-08 00:00:00,4767.9799,4776.5125,4711.2473,4743.5564,1355101956.0,16671325153.73,0.0,-0.9822233736411213
2023-11-09 00:00:00,4724.4185,4772.804,4724.0136,4756.697,1144079351.0,14396416788.32,0.0,0.27702000128004634
2023-11-10 00:00:00,4740.3901,4745.0881,4715.5641,4732.6716,933408463.0,13159925187.74,0.0,-0.5050857769582642
2023-11-13 00:00:00,4730.8019,4760.9436,4709.0106,4758.8996,1072354524.0,12584900062.83,0.0,0.554190153400884
2023-11-14 00:00:00,4760.5607,4770.5963,4724.8182,4745.1875,1010188553.0,12280076979.09,0.0,-0.2881359379802788
2023-11-15 00:00:00,4816.0074,4855.407,4812.6446,4830.1365,1657281845.0,23738862415.68,0.0,1.7902137692135371
2023-11-16 00:00:00,4814.1204,4814.1204,4754.8945,4769.8879,1015820712.0,14217435748.6,0.0,-1.2473477716416481
2023-11-17 00:00:00,4764.4351,4791.638,4743.2086,4790.5433,951163406.0,12028495673.58,0.0,0.43303743050230925
2023-11-20 00:00:00,4791.8227,4794.8296,4741.0937,4784.5037,1016377907.0,12688184861.32,0.0,-0.12607338295011472
2023-11-21 00:00:00,4802.9923,4849.4366,4795.2895,4800.1143,1372182508.0,16039061531.02,0.0,0.3262741755221127
2023-11-22 00:00:00,4787.9726,4793.8066,4716.1461,4716.1461,1034678011.0,13851545260.86,0.0,-1.7492958448926985
2023-11-23 00:00:00,4705.8324,4734.7469,4679.3115,4734.0629,811274564.0,10325358284.79,0.0,0.3799034130855269
2023-11-24 00:00:00,4727.7637,4727.7637,4676.8661,4686.8123,784460048.0,9555650340.15,0.0,-0.9980982719938154
2023-11-27 00:00:00,4684.2538,4709.7407,4636.8255,4662.492,1035116382.0,13185667210.64,0.0,-0.5189091954887848
2023-11-28 00:00:00,4657.3703,4673.1593,4620.8385,4671.2043,851252534.0,10462359947.67,0.0,0.18685930184974348
2023-11-29 00:00:00,4699.3302,4713.1199,4680.3865,4688.5524,1257428478.0,14722655777.2,0.0,0.3713838848795213
2023-11-30 00:00:00,4680.3402,4681.7523,4631.9764,4661.925,1087715574.0,12734710308.65,0.0,-0.567923694315529
2023-12-01 00:00:00,4656.5879,4675.9223,4613.7694,4656.9498,1039467893.0,14205732025.14,0.0,-0.10671986357566582
2023-12-04 00:00:00,4705.11,4770.3318,4704.3483,4708.206,1859148365.0,22028356831.7,0.0,1.1006388774042573
2023-12-05 00:00:00,4651.3469,4685.7687,4612.899,4615.6848,1512765597.0,21434615358.1,0.0,-1.9651051801896549
2023-12-06 00:00:00,4593.841,4734.7825,4591.1004,4710.0642,1553268571.0,31402702202.76,0.0,2.0447540091992376
2023-12-07 00:00:00,4684.7668,4698.7043,4628.589,4672.2327,1201424379.0,21173638817.73,0.0,-0.8032056123566265
2023-12-08 00:00:00,4687.6172,4693.5526,4633.3428,4642.327,1134143641.0,17286342172.81,0.0,-0.6400729997887166
2023-12-11 00:00:00,4609.5706,4616.0243,4523.6808,4608.0315,1498074363.0,20239945255.38,0.0,-0.7387566623376632
2023-12-12 00:00:00,4580.6589,4592.9146,4559.6657,4592.4659,1001354299.0,12564490397.24,0.0,-0.3377928297582146
2023-12-13 00:00:00,4578.9069,4579.6155,4505.6524,4509.8652,1050775389.0,13005915363.21,0.0,-1.7986132460994422
2023-12-14 00:00:00,4587.6831,4594.3113,4505.5062,4507.3674,1129632819.0,14702537882.89,0.0,-0.05538524743489223
2023-12-15 00:00:00,4539.9528,4601.8928,4529.8095,4537.5834,1435872687.0,19558582585.63,0.0,0.6703691383134276
2023-12-18 00:00:00,4511.3647,4545.1198,4472.244,4482.0977,1185369155.0,14891391622.48,0.0,-1.222802869033772
2023-12-19 00:00:00,4472.4679,4496.2451,4436.3973,4472.1741,941613772.0,11585396106.77,0.0,-0.22140525852437526
2023-12-20 00:00:00,4488.1647,4519.4313,4475.3961,4476.2098,1211223537.0,14046124703.6,0.0,0.09024022566562091
2023-12-21 00:00:00,4447.4087,4520.0742,4433.6092,4510.2646,1193882542.0,14332598232.7,0.0,0.7607954390341757
2023-12-22 00:00:00,4516.3098,4630.0212,4478.9157,4589.5984,1867962769.0,24665139316.72,0.0,1.7589611039671469
2023-12-25 00:00:00,4574.9427,4620.5009,4571.599,4617.0573,1186635348.0,15465239074.21,0.0,0.5982854621877274
2023-12-26 00:00:00,4618.7039,4637.2589,4589.3594,4607.141,1126018614.0,14606230823.16,0.0,-0.2147753288658725
2023-12-27 00:00:00,4604.0061,4640.8304,4570.8633,4637.3674,1472267062.0,15784222771.97,0.0,0.6560771636900297
2023-12-28 00:00:00,4655.6003,4778.234,4655.6003,4759.0034,2328853256.0,32035324084.53,0.0,2.6229537042935074
2023-12-29 00:00:00,4732.7145,4780.8914,4731.2199,4775.2687,1633022632.0,21215814880.07,0.0,0.3417795414897167
2024-01-02 00:00:00,4772.3772,4804.9682,4753.3737,4779.2855,1610518046.0,18700336897.87,0.0,0.08411673253068107
2024-01-03 00:00:00,4757.8651,4794.5169,4752.6063,4774.7086,1445746264.0,16314878789.78,0.0,-0.09576536074273076
2024-01-04 00:00:00,4751.1879,4751.5408,4697.3585,4725.5773,1348853767.0,15955824739.37,0.0,-1.028990544051212
2024-01-05 00:00:00,4718.743,4799.6596,4686.0923,4704.778,1419408524.0,18809218567.51,0.0,-0.4401430487656963
2024-01-08 00:00:00,4692.8696,4730.3823,4645.5881,4649.5924,1383857135.0,17098425480.81,0.0,-1.1729692665626263
2024-01-09 00:00:00,4646.6508,4698.1015,4617.5513,4688.7762,1354867796.0,17095724906.71,0.0,0.8427362364064384
2024-01-10 00:00:00,4670.496,4733.9876,4637.8275,4664.9445,1185390703.0,17313459649.07,0.0,-0.5082712201107111
2024-01-11 00:00:00,4652.7847,4756.1068,4626.1231,4721.7792,1496877691.0,25846208997.59,0.0,1.2183360380814894
2024-01-12 00:00:00,4702.4218,4761.4703,4700.514,4719.3899,1289505284.0,21030327650.59,0.0,-0.05060168844828282
2024-01-15 00:00:00,4705.9258,4723.7308,4666.7293,4676.953,980219675.0,14101281153.62,0.0,-0.8992030940270413
2024-01-16 00:00:00,4668.478,4706.7402,4614.0238,4670.7985,1176008647.0,15963018719.83,0.0,-0.13159208570196348
2024-01-17 00:00:00,4657.0378,4657.0378,4514.6927,4514.6927,1265327956.0,16126568373.44,0.0,-3.342165156557284
2024-01-18 00:00:00,4485.5694,4530.2606,4385.8892,4520.4783,1893088833.0,22507463868.77,0.0,0.12815047190255408
2024-01-19 00:00:00,4499.6983,4557.658,4487.9341,4496.0804,1215604789.0,16164996988.43,0.0,-0.5397194363260175
2024-01-22 00:00:00,4475.7282,4475.8927,4264.0364,4294.6588,1798735210.0,20628421232.13,0.0,-4.479937680829722
2024-01-23 00:00:00,4278.5989,4350.1314,4221.4559,4328.7796,1590183757.0,16426606323.15,0.0,0.7944938489641993
2024-01-24 00:00:00,4351.0083,4402.619,4251.1434,4395.7202,1522223235.0,16329826000.83,0.0,1.5464081377578085
2024-01-25 00:00:00,4399.5529,4526.1781,4392.8707,4526.1781,1770503446.0,19005785668.49,0.0,2.96783903579669
2024-01-26 00:00:00,4513.498,4574.4479,4503.6472,4538.265,1598912346.0,17420988482.83,0.0,0.26704428621578635
2024-01-29 00:00:00,4548.581,4557.3525,4461.9124,4465.5997,1471795399.0,17731065726.2,0.0,-1.601169169275055
2024-01-30 00:00:00,4433.8144,4472.7595,4373.3231,4379.5052,1315069777.0,14076268802.08,0.0,-1.9279493412721287
2024-01-31 00:00:00,4347.3809,4375.6433,4256.7556,4262.1219,1565177894.0,18264358938.2,0.0,-2.6802868050025266
2024-02-01 00:00:00,4234.2916,4317.995,4199.7329,4254.1405,1509544913.0,14906833397.26,0.0,-0.18726353181028602
2024-02-02 00:00:00,4265.5526,4296.9132,4044.9511,4157.5577,1788602753.0,18587486261.34,0.0,-2.2703246401946555
2024-02-05 00:00:00,4122.7804,4161.2045,3952.4843,4059.7709,2159477525.0,20650996205.99,0.0,-2.352025084342192
2024-02-06 00:00:00,4025.8613,4281.4785,4025.007,4270.4388,2220806241.0,22205953067.7,0.0,5.189157348755811
2024-02-07 00:00:00,4280.8506,4416.3453,4271.4954,4416.2401,2652602794.0,27219865888.39,0.0,3.4141994963140574
2024-02-08 00:00:00,4446.2116,4533.9496,4441.0002,4481.6145,2636815387.0,27194897085.96,0.0,1.480318065134178
2024-02-19 00:00:00,4490.3137,4527.7198,4453.6783,4524.9152,2262318018.0,24287992922.84,0.0,0.9661852888060919
2024-02-20 00:00:00,4502.5149,4550.0675,4459.7377,4544.4295,1611396151.0,18080580081.48,0.0,0.4312633306365569
2024-02-21 00:00:00,4520.6126,4660.4542,4508.3726,4576.1001,1985411902.0,23803447941.73,0.0,0.6969103602553295
2024-02-22 00:00:00,4556.0337,4630.3317,4549.0597,4630.2441,1549527945.0,17536885984.39,0.0,1.183190900915831
