time_key,open,high,low,close,volume,turnover,turnover_rate,change_rate
2023-11-01 00:00:00,147.93,148.5,144.1,147.72,1367738.0,200151866.0,0.01238,-0.5252525252525261
2023-11-02 00:00:00,147.46,149.18,145.81,146.85,755602.0,111230984.0,0.00684,-0.5889520714865993
2023-11-03 00:00:00,146.85,150.18,146.21,149.6,1425692.0,212951630.0,0.01291,1.8726591760299627
2023-11-06 00:00:00,153.0,158.2,152.95,155.93,1975461.0,309257978.0,0.01789,4.231283422459901
2023-11-07 00:00:00,155.99,157.33,153.72,153.73,1042700.0,161729692.0,0.00944,-1.4108895016994913
2023-11-08 00:00:00,153.72,156.4,152.82,154.16,832117.0,128712640.0,0.00753,0.27971118194237093
2023-11-09 00:00:00,154.68,155.9,150.1,151.3,1270805.0,192770517.0,0.01151,-1.8552153606642352
2023-11-10 00:00:00,151.3,152.0,145.31,148.88,2304662.0,340607291.0,0.02087,-1.5994712491738374
2023-11-13 00:00:00,150.22,153.0,147.3,150.07,1533015.0,229027394.0,0.01388,0.7993014508328841
2023-11-14 00:00:00,151.0,153.15,149.0,151.15,948370.0,143225641.0,0.00859,0.7196641567268691
2023-11-15 00:00:00,154.31,157.45,146.67,148.75,2160205.0,324279916.0,0.01956,-1.5878266622560409
2023-11-16 00:00:00,146.79,148.75,143.18,144.75,1714326.0,248605110.0,0.01552,-2.689075630252101
2023-11-17 00:00:00,144.18,145.25,143.0,145.0,952727.0,137562735.0,0.00863,0.17271157167530224
2023-11-20 00:00:00,144.23,146.7,141.38,145.81,1622590.0,234716857.0,0.01469,0.558620689655174
2023-11-21 00:00:00,145.38,146.9,144.09,146.01,1095451.0,159478254.0,0.00992,0.13716480351141117
2023-11-22 00:00:00,145.2,147.6,143.97,144.97,928902.0,135194516.0,0.00841,-0.7122799808232259
2023-11-23 00:00:00,143.0,147.56,143.0,147.12,789677.0,115244286.0,0.00715,1.4830654618196908
2023-11-24 00:00:00,146.22,147.64,144.8,146.3,621695.0,90508265.0,0.00563,-0.5573681348558953
2023-11-27 00:00:00,147.0,153.28,144.9,152.18,1967489.0,296691234.0,0.01781,4.019138755980857
